class,uni+bigrams,unigrams,delta
misc.forsale,0.9105263157894737,0.9050131926121372,0.005513123177336543
rec.autos,0.8285714285714286,0.8182883939038686,0.010283034667559976
rec.motorcycles,0.8385416666666666,0.8295904887714664,0.00895117789520028
